reach_id,total,kept,no time or height,same pass in C and D,frozen months,reach_q (NASA quality),partly observed,too dark,ice (climatology),height uncertainty,height outlier
82285000441,317,51,2,98,108,11,0,47,0,0,0
82285000451,317,49,2,98,108,8,1,51,0,0,0
82285000461,315,46,0,100,107,5,0,57,0,0,0
82285000471,315,46,0,100,107,3,0,59,0,0,0
82285000481,315,50,0,100,107,5,0,53,0,0,0
82285000501,394,51,83,95,106,32,11,16,0,0,0
82285000511,393,38,163,65,81,31,0,15,0,0,0
82285000521,393,31,158,70,81,25,0,28,0,0,0
82285000531,393,53,82,98,104,37,1,17,0,0,1
82287000011,393,73,79,100,105,15,1,19,0,1,0
82287000021,472,1,112,113,113,20,106,7,0,0,0
82287000031,394,88,90,98,101,15,0,1,1,0,0
82287000041,314,99,0,98,107,7,2,0,1,0,0
82287000051,314,102,0,98,107,6,0,0,1,0,0
82287000061,314,104,0,99,106,4,0,0,1,0,0
82287000071,314,105,0,99,106,2,1,0,1,0,0
82287000081,315,106,0,100,106,2,0,0,1,0,0
82287000091,315,105,1,99,106,2,1,0,1,0,0
82287000101,315,101,0,101,105,3,0,1,1,0,3
