reach_id,C_readings,D_readings,same_pass_pairs,height_diff_D_minus_C_cm,height_diff_spread_cm,width_diff_D_minus_C_m,verdict
82285000441,22,98,21,-2.1,10.9,-7.8,agree
82285000451,18,101,17,0.3,4.3,-3.2,agree
82285000461,19,102,17,2.3,4.7,4.3,agree
82285000471,21,104,18,-1.6,5.4,-10.3,agree
82285000481,14,103,13,1.8,3.0,-0.5,agree
82285000501,20,77,15,3.6,8.0,4.8,agree
82285000511,7,52,6,3.0,20.7,-25.0,agree
82285000521,17,57,10,0.9,16.0,3.1,agree
82285000531,26,71,18,-0.2,3.8,-18.8,agree
82287000011,37,91,28,2.0,6.4,1.8,agree
82287000021,37,112,32,-2.4,11.8,0.6,agree
82287000031,33,89,28,6.4,7.4,2.3,agree
82287000041,37,101,36,3.6,4.7,1.8,agree
82287000051,43,102,41,-8.4,10.8,2.3,agree
82287000061,43,104,41,1.7,4.0,-0.8,agree
82287000071,43,106,41,2.5,4.2,0.7,agree
82287000081,41,107,40,6.6,13.1,-0.2,agree
82287000091,40,107,39,2.7,5.7,2.0,agree
82287000101,29,106,28,2.4,19.1,-17.5,agree
